CropType,Location,LandType,LandSize,Income,LoanName
Millets,Tumakuru,Rainfed,5.29,16161,Organic Farming Loan
Beekeeping,Kodagu,Dryland,1.38,58336,Agri Clinic Loan
Sugarcane,Mandya,Black cotton soil land,4.22,54595,Irrigation Loan
Groundnut,Chikkaballapur,Black cotton soil land,4.91,28110,Crop Loan
Coconut,Dakshina Kannada,Irrigated,1.29,56309,Plantation Loan
Mango,Kolar,Black cotton soil land,3.53,54265,Organic Farming Loan
Millets,Tumakuru,Dryland,2.62,17107,Organic Farming Loan
Beekeeping,Shivamogga,Dryland,1.66,50484,Agri Clinic Loan
Rice,Mandya,Irrigated,3.4,35381,Kisan Credit Card
Banana,Mandya,Wetland,2.43,46614,Horticulture Loan
Maize,Gadag,Dryland,2.3,23611,Farm Mechanization Loan
Rice,Mysuru,Wetland,1.44,38881,Crop Loan
Rice,Mandya,Irrigated,3.95,36512,Kisan Credit Card
Groundnut,Chikkaballapur,Dryland,3.46,26447,Crop Loan
Mango,Chikkaballapur,Dryland,1.55,59168,Horticulture Loan
Groundnut,Tumakuru,Dryland,3.17,33912,Crop Loan
Coconut,Udupi,Irrigated,2.57,48691,Agri Infrastructure Loan
Mango,Ramanagara,Dryland,1.14,54173,Horticulture Loan
Banana,Mysuru,Wetland,1.78,54052,Horticulture Loan
Fish Farming,Udupi,Wetland,1.69,67990,NABARD Infrastructure Loan
Wheat,Vijayapura,Dryland,2.16,28035,Crop Loan
Groundnut,Chikkaballapur,Dryland,4.47,25096,Organic Farming Loan
Coconut,Tumakuru,Irrigated,1.26,45468,Agri Infrastructure Loan
Organic Vegetables,Dharwad,Irrigated,1.57,43093,Organic Farming Loan
Floriculture,Bengaluru Urban,Irrigated,1.64,55689,NABARD Loan
Maize,Davanagere,Dryland,3.23,22441,Farm Mechanization Loan
Cotton,Gadag,Black cotton soil land,2.62,33017,Crop Loan
Rice,Mysuru,Wetland,2.46,30940,Crop Loan
Tea,Chikkamagaluru,Hill slope,2.13,78355,Plantation Development Loan
Fish Farming,Udupi,Wetland,0.67,77661,NABARD Infrastructure Loan
Maize,Chikkaballapur,Rainfed,4.74,30953,Crop Loan
Wheat,Vijayapura,Irrigated,3.29,32677,Crop Loan
Maize,Gadag,Dryland,3.88,32871,Crop Loan
Cotton,Gadag,Dryland,3.6,37554,Crop Loan
Floriculture,Bengaluru Urban,Irrigated,1.54,50343,NABARD Loan
Wheat,Kalaburagi,Irrigated,1.58,28521,PM Kisan Loan
Coffee,Chikkamagaluru,Wetland,1.21,71386,NABARD Loan
Millets,Koppal,Rainfed,4.99,16660,Soil Health Card Loan
Groundnut,Tumakuru,Black cotton soil land,4.87,33336,Crop Loan
Beekeeping,Kodagu,Dryland,1.13,54150,Apiculture Loan
Silk,Kolar,Irrigated,2.38,56758,Agricultural Term Loan
Organic Vegetables,Dharwad,Irrigated,1.79,48170,Organic Farming Loan
Groundnut,Bengaluru Rural,Black cotton soil land,2.1,27363,Organic Farming Loan
Tea,Chikkamagaluru,Wetland,1.1,76668,NABARD Refinance Scheme
Wheat,Kalaburagi,Irrigated,2.8,32873,PM Kisan Loan
Pulses,Gadag,Rainfed,2.98,18864,NABARD Loan
Coffee,Hassan,Black cotton soil land,1.08,67590,NABARD Loan
Silk,Kolar,Dryland,1.86,70216,NABARD Loan
Groundnut,Bengaluru Rural,Dryland,4.68,30887,Organic Farming Loan
Mango,Ramanagara,Dryland,3.2,36442,Organic Farming Loan
Coconut,Tumakuru,Coastal loamy,1.75,46651,Plantation Loan
Pulses,Bidar,Dryland,3.02,24653,NABARD Loan
Banana,Mysuru,Wetland,2.56,54456,Horticulture Loan
Fish Farming,Dakshina Kannada,Wetland,0.95,92488,NABARD Infrastructure Loan
Banana,Mysuru,Wetland,3.1,43148,Irrigation Loan
Mango,Kolar,Black cotton soil land,1.15,46992,Organic Farming Loan
Wheat,Vijayapura,Irrigated,2.79,34561,Crop Loan
Wheat,Bagalkot,Irrigated,4.03,31031,Crop Loan
Wheat,Vijayapura,Dryland,4.14,32134,Crop Loan
Tea,Chikkamagaluru,Hill slope,1.11,96444,Plantation Development Loan
Maize,Davanagere,Rainfed,4.56,29509,Farm Mechanization Loan
Rice,Raichur,Wetland,2.26,36068,Kisan Credit Card
Tea,Chikkamagaluru,Hill slope,1.31,95006,Plantation Development Loan
Wheat,Kalaburagi,Dryland,4.06,25037,PM Kisan Loan
Coconut,Udupi,Irrigated,2.7,40577,Plantation Loan
Fish Farming,Dakshina Kannada,Wetland,0.5,85035,Fisheries Loan
Organic Vegetables,Dharwad,Irrigated,2.52,48024,Organic Farming Loan
Millets,Ballari,Dryland,3.91,18922,Organic Farming Loan
Coconut,Dakshina Kannada,Irrigated,2.31,45846,Plantation Loan
Maize,Davanagere,Dryland,3.37,33358,Crop Loan
Floriculture,Bengaluru Urban,Irrigated,1.29,74104,Floriculture Loan
Groundnut,Tumakuru,Black cotton soil land,4.71,21279,Organic Farming Loan
Coconut,Udupi,Coastal loamy,3.1,54359,Plantation Loan
Banana,Mandya,Irrigated,2.82,45479,Horticulture Loan
Wheat,Vijayapura,Dryland,4.54,31182,PM Kisan Loan
Coffee,Chikkamagaluru,Wetland,0.9,68433,Plantation Development Loan
Coffee,Chikkamagaluru,Black cotton soil land,1.41,64994,NABARD Loan
Beekeeping,Chamarajanagar,Forest edge,2.0,50464,Apiculture Loan
Rice,Raichur,Wetland,2.0,36273,Crop Loan
Tea,Chikkamagaluru,Hill slope,1.76,74304,Plantation Development Loan
Coffee,Chikkamagaluru,Black cotton soil land,0.5,66802,NABARD Loan
Mango,Chikkaballapur,Dryland,1.44,52611,Horticulture Loan
Maize,Gadag,Dryland,2.7,23917,Farm Mechanization Loan
Maize,Davanagere,Dryland,2.79,32114,Crop Loan
Cotton,Haveri,Dryland,3.67,38013,Pest Management Loan
Pulses,Raichur,Dryland,1.58,19671,Organic Farming Loan
Coffee,Hassan,Wetland,0.68,70914,Plantation Development Loan
Millets,Ballari,Rainfed,2.22,20668,Soil Health Card Loan
Rice,Shivamogga,Irrigated,1.9,35807,Kisan Credit Card
Pulses,Gadag,Dryland,3.1,19982,NABARD Loan
Organic Vegetables,Tumakuru,Dryland,1.41,39379,Horticulture Loan
Floriculture,Tumakuru,Irrigated,0.71,55481,Floriculture Loan
Floriculture,Bengaluru Urban,Polyhouse,1.03,64756,NABARD Loan
Beekeeping,Shivamogga,Forest edge,0.87,53278,Apiculture Loan
Groundnut,Tumakuru,Dryland,2.35,30235,Crop Loan
Banana,Hassan,Irrigated,2.68,45153,Irrigation Loan
Wheat,Bagalkot,Irrigated,2.56,32485,PM Kisan Loan
Tea,Chikkamagaluru,Wetland,2.43,89370,NABARD Refinance Scheme
Coffee,Hassan,Wetland,1.32,80614,Horticulture Loan
Silk,Kolar,Irrigated,1.42,52208,Sericulture Loan
Floriculture,Tumakuru,Polyhouse,1.52,57867,Floriculture Loan
Floriculture,Tumakuru,Polyhouse,1.61,74289,Floriculture Loan
Rice,Mandya,Wetland,3.18,39993,Irrigation Loan
Sugarcane,Mysuru,Black cotton soil land,2.83,50053,Irrigation Loan
Cotton,Dharwad,Dryland,2.82,40300,Crop Loan
Banana,Mandya,Irrigated,3.47,44886,Irrigation Loan
Tea,Chikkamagaluru,Hill slope,1.05,94042,NABARD Refinance Scheme
Rice,Raichur,Irrigated,2.58,35761,Kisan Credit Card
Sugarcane,Belagavi,Irrigated,2.58,52035,Farm Mechanization Loan
Mango,Ramanagara,Black cotton soil land,1.75,43803,Horticulture Loan
Tea,Chikkamagaluru,Hill slope,1.04,83837,NABARD Refinance Scheme
Rice,Mandya,Irrigated,1.17,35791,Kisan Credit Card
Pulses,Gadag,Dryland,2.42,23257,Organic Farming Loan
Coffee,Chikkamagaluru,Wetland,1.27,65647,Plantation Development Loan
Organic Vegetables,Mysuru,Irrigated,2.89,44163,Horticulture Loan
Coconut,Tumakuru,Irrigated,1.75,57975,Agri Infrastructure Loan
Silk,Kolar,Dryland,2.21,69961,NABARD Loan
Mango,Ramanagara,Dryland,2.41,46710,Horticulture Loan
Mango,Chikkaballapur,Dryland,2.98,58560,Horticulture Loan
Coffee,Chikkamagaluru,Wetland,0.88,89189,Horticulture Loan
Coffee,Kodagu,Wetland,1.68,72916,Horticulture Loan
Silk,Kolar,Dryland,2.03,69215,Sericulture Loan
Groundnut,Chikkaballapur,Black cotton soil land,3.34,27590,Crop Loan
Coffee,Kodagu,Black cotton soil land,1.12,65689,Horticulture Loan
Rice,Mandya,Irrigated,1.85,38086,Crop Loan
Beekeeping,Chamarajanagar,Dryland,0.92,50442,Agri Clinic Loan
Wheat,Bagalkot,Dryland,2.68,33402,PM Kisan Loan
Wheat,Kalaburagi,Irrigated,3.87,33097,Crop Loan
Cotton,Gadag,Black cotton soil land,4.76,33955,Kisan Credit Card
Floriculture,Doddaballapura,Polyhouse,1.5,77893,Floriculture Loan
Groundnut,Chikkaballapur,Black cotton soil land,2.57,20137,Crop Loan
Tea,Chikkamagaluru,Wetland,2.44,98028,NABARD Refinance Scheme
Beekeeping,Chamarajanagar,Dryland,0.9,57050,Agri Clinic Loan
Mango,Ramanagara,Dryland,3.42,56875,Organic Farming Loan
Coconut,Tumakuru,Irrigated,2.58,58625,Agri Infrastructure Loan
Millets,Chitradurga,Dryland,4.47,16424,PM Kisan Loan
Beekeeping,Kodagu,Forest edge,1.17,56437,Apiculture Loan
Pulses,Raichur,Rainfed,2.85,21559,NABARD Loan
Mango,Kolar,Dryland,3.95,57926,Organic Farming Loan
Millets,Tumakuru,Dryland,3.98,18144,PM Kisan Loan
Sugarcane,Bagalkot,Black cotton soil land,2.19,52683,Farm Mechanization Loan
Coconut,Tumakuru,Coastal loamy,3.65,49342,Plantation Loan
Rice,Shivamogga,Irrigated,3.61,38860,Kisan Credit Card
Coconut,Udupi,Coastal loamy,2.95,55600,Plantation Loan
Fish Farming,Udupi,Wetland,1.24,61148,NABARD Infrastructure Loan
Groundnut,Bengaluru Rural,Black cotton soil land,2.66,34797,Crop Loan
Sugarcane,Belagavi,Irrigated,5.19,58058,Irrigation Loan
Beekeeping,Shivamogga,Dryland,0.76,51127,Agri Clinic Loan
Banana,Mysuru,Irrigated,2.17,47389,Irrigation Loan
Groundnut,Tumakuru,Black cotton soil land,2.81,30203,Organic Farming Loan
Cotton,Ballari,Dryland,4.73,36067,Kisan Credit Card
Tea,Chikkamagaluru,Hill slope,1.78,72747,Plantation Development Loan
Rice,Mysuru,Wetland,1.59,33912,Kisan Credit Card
Rice,Mandya,Irrigated,1.07,32928,Irrigation Loan
Silk,Kolar,Irrigated,2.92,74752,Sericulture Loan
Pulses,Dharwad,Dryland,2.1,18259,Organic Farming Loan
Fish Farming,Udupi,Wetland,0.81,91168,Fisheries Loan
Wheat,Vijayapura,Irrigated,3.26,31236,PM Kisan Loan
Organic Vegetables,Mysuru,Dryland,2.99,37149,Organic Farming Loan
Cotton,Haveri,Dryland,3.6,44128,Pest Management Loan
Mango,Ramanagara,Black cotton soil land,2.42,56680,Horticulture Loan
Fish Farming,Dakshina Kannada,Wetland,2.08,74185,Fisheries Loan
Groundnut,Tumakuru,Dryland,3.85,27743,Crop Loan
Wheat,Vijayapura,Dryland,1.78,27552,PM Kisan Loan
Pulses,Bidar,Dryland,1.86,22942,Organic Farming Loan
Tea,Chikkamagaluru,Wetland,1.72,87581,Plantation Development Loan
Fish Farming,Dakshina Kannada,Wetland,1.37,61020,NABARD Infrastructure Loan
Coconut,Udupi,Coastal loamy,3.75,52829,Agri Infrastructure Loan
Sugarcane,Bagalkot,Black cotton soil land,5.61,48907,Agricultural Term Loan
Organic Vegetables,Dharwad,Irrigated,2.64,38673,Organic Farming Loan
Millets,Koppal,Dryland,5.21,18409,Soil Health Card Loan
Silk,Ramanagara,Dryland,1.47,57227,Agricultural Term Loan
Millets,Koppal,Rainfed,5.25,16369,Organic Farming Loan
Floriculture,Tumakuru,Irrigated,0.75,66170,Floriculture Loan
Silk,Chikkaballapur,Dryland,2.89,73061,Agricultural Term Loan
Banana,Mandya,Irrigated,2.07,42731,Horticulture Loan
Sugarcane,Bagalkot,Irrigated,5.77,47735,Agricultural Term Loan
Cotton,Dharwad,Dryland,2.11,35509,Kisan Credit Card
Organic Vegetables,Dharwad,Dryland,2.4,39433,Organic Farming Loan
Banana,Mysuru,Wetland,2.12,53932,Horticulture Loan
Mango,Kolar,Dryland,3.82,58765,Organic Farming Loan
Groundnut,Bengaluru Rural,Black cotton soil land,4.46,21057,Crop Loan
Coffee,Hassan,Black cotton soil land,0.76,68919,Plantation Development Loan
Pulses,Bidar,Dryland,1.69,22713,PM Kisan Loan
Maize,Gadag,Dryland,2.14,33519,Farm Mechanization Loan
Maize,Gadag,Rainfed,2.93,29191,Farm Mechanization Loan
Floriculture,Bengaluru Urban,Irrigated,1.04,62161,NABARD Loan
Maize,Davanagere,Rainfed,3.45,29464,Crop Loan
Millets,Chitradurga,Dryland,5.09,17387,Organic Farming Loan
Floriculture,Tumakuru,Irrigated,1.41,53974,Floriculture Loan
Mango,Kolar,Dryland,3.89,49956,Horticulture Loan
Groundnut,Tumakuru,Dryland,4.52,29517,Crop Loan
Cotton,Gadag,Dryland,3.68,32884,Crop Loan
Beekeeping,Chamarajanagar,Dryland,0.75,59525,Apiculture Loan
Pulses,Dharwad,Rainfed,2.38,20886,PM Kisan Loan
Groundnut,Tumakuru,Black cotton soil land,2.63,25514,Organic Farming Loan
Organic Vegetables,Mysuru,Dryland,2.32,44763,Horticulture Loan
Floriculture,Bengaluru Urban,Polyhouse,0.79,70712,Floriculture Loan
Mango,Ramanagara,Black cotton soil land,1.65,57539,Horticulture Loan
Mango,Ramanagara,Dryland,2.57,39409,Horticulture Loan
Silk,Chikkaballapur,Irrigated,2.37,58284,Sericulture Loan
Groundnut,Bengaluru Rural,Black cotton soil land,3.83,28323,Crop Loan
Silk,Chikkaballapur,Irrigated,1.51,74053,NABARD Loan
Organic Vegetables,Mysuru,Dryland,2.09,46357,Organic Farming Loan
Sugarcane,Bagalkot,Irrigated,3.52,54735,Irrigation Loan
Tea,Chikkamagaluru,Hill slope,2.09,84076,Plantation Development Loan
Coffee,Hassan,Black cotton soil land,1.67,80692,Plantation Development Loan
Wheat,Kalaburagi,Dryland,3.16,34583,Crop Loan
Pulses,Raichur,Dryland,1.93,24379,PM Kisan Loan
Organic Vegetables,Dharwad,Irrigated,1.76,47909,Horticulture Loan
Cotton,Haveri,Black cotton soil land,2.89,36385,Crop Loan
Organic Vegetables,Mysuru,Irrigated,2.37,38614,Organic Farming Loan
Wheat,Vijayapura,Dryland,3.98,32483,PM Kisan Loan
Banana,Hassan,Wetland,2.48,54300,Irrigation Loan
Organic Vegetables,Mysuru,Dryland,1.01,48776,Organic Farming Loan
Organic Vegetables,Dharwad,Irrigated,1.02,38350,Horticulture Loan
Organic Vegetables,Dharwad,Dryland,1.37,48366,Organic Farming Loan
Wheat,Kalaburagi,Irrigated,3.73,27333,PM Kisan Loan
Rice,Mandya,Irrigated,1.93,35699,Crop Loan
Beekeeping,Kodagu,Dryland,1.89,61487,Apiculture Loan
Organic Vegetables,Mysuru,Irrigated,1.89,37391,Organic Farming Loan
Silk,Kolar,Irrigated,2.61,53409,Agricultural Term Loan
Maize,Davanagere,Rainfed,4.0,30829,Farm Mechanization Loan
Cotton,Haveri,Black cotton soil land,2.38,34686,Pest Management Loan
Cotton,Ballari,Black cotton soil land,3.11,39343,Kisan Credit Card
Cotton,Gadag,Dryland,4.21,42148,Kisan Credit Card
Rice,Shivamogga,Irrigated,2.55,34185,Kisan Credit Card
Millets,Tumakuru,Rainfed,4.22,21734,Soil Health Card Loan
Floriculture,Doddaballapura,Polyhouse,1.78,52083,Floriculture Loan
Cotton,Dharwad,Dryland,3.78,40351,Kisan Credit Card
Coconut,Udupi,Coastal loamy,1.81,48292,Plantation Loan
Pulses,Raichur,Dryland,3.6,24810,PM Kisan Loan
Maize,Gadag,Rainfed,2.73,34469,Crop Loan
Pulses,Dharwad,Dryland,3.7,24797,NABARD Loan
Sugarcane,Mandya,Irrigated,3.43,57241,Agricultural Term Loan
Groundnut,Bengaluru Rural,Black cotton soil land,3.69,32335,Organic Farming Loan
Rice,Raichur,Irrigated,3.5,37491,Kisan Credit Card
Rice,Mysuru,Wetland,1.3,37138,Irrigation Loan
Cotton,Dharwad,Dryland,2.86,30107,Crop Loan
Rice,Mysuru,Wetland,2.34,30194,Irrigation Loan
Pulses,Raichur,Dryland,1.53,21175,NABARD Loan
Cotton,Haveri,Black cotton soil land,4.54,41687,Crop Loan
Rice,Raichur,Irrigated,2.04,36352,Irrigation Loan
Banana,Hassan,Irrigated,2.33,41969,Irrigation Loan
Sugarcane,Bagalkot,Irrigated,2.25,53846,Irrigation Loan
Floriculture,Doddaballapura,Polyhouse,1.87,74401,Floriculture Loan
Pulses,Raichur,Dryland,2.04,19306,NABARD Loan
Mango,Chikkaballapur,Black cotton soil land,1.34,58613,Horticulture Loan
Pulses,Bidar,Rainfed,3.19,24502,Organic Farming Loan
Coffee,Kodagu,Wetland,0.68,86493,NABARD Loan
Organic Vegetables,Tumakuru,Dryland,1.92,43710,Horticulture Loan
Pulses,Bidar,Rainfed,2.79,24735,NABARD Loan
Tea,Chikkamagaluru,Hill slope,2.31,83190,NABARD Refinance Scheme
Beekeeping,Kodagu,Forest edge,1.57,61603,Agri Clinic Loan
Pulses,Dharwad,Dryland,2.47,22779,Organic Farming Loan
Silk,Ramanagara,Dryland,1.06,67127,Sericulture Loan
Pulses,Gadag,Dryland,1.19,19190,NABARD Loan
Cotton,Dharwad,Black cotton soil land,4.89,34251,Pest Management Loan
Floriculture,Bengaluru Urban,Polyhouse,1.46,74041,Floriculture Loan
Floriculture,Tumakuru,Irrigated,1.56,70513,Floriculture Loan
Beekeeping,Shivamogga,Dryland,0.69,56323,Apiculture Loan
Wheat,Kalaburagi,Irrigated,3.48,30002,PM Kisan Loan
Banana,Mandya,Wetland,1.66,42670,Horticulture Loan
Floriculture,Doddaballapura,Irrigated,1.14,75762,NABARD Loan
Silk,Ramanagara,Irrigated,1.6,55479,Agricultural Term Loan
Sugarcane,Belagavi,Black cotton soil land,4.71,56176,Agricultural Term Loan
Coffee,Kodagu,Black cotton soil land,1.18,69209,Horticulture Loan
Cotton,Gadag,Dryland,2.43,36462,Kisan Credit Card
Organic Vegetables,Dharwad,Dryland,1.38,42067,Horticulture Loan
Pulses,Raichur,Rainfed,3.84,21863,Organic Farming Loan
Silk,Kolar,Dryland,2.07,59075,Sericulture Loan
Floriculture,Tumakuru,Polyhouse,1.5,54542,Floriculture Loan
Coconut,Tumakuru,Irrigated,3.06,54617,Agri Infrastructure Loan
Cotton,Haveri,Black cotton soil land,3.59,35019,Pest Management Loan
Tea,Chikkamagaluru,Hill slope,1.14,98188,Plantation Development Loan
Banana,Mysuru,Wetland,2.28,44554,Irrigation Loan
Banana,Mandya,Wetland,2.06,46708,Horticulture Loan
Coffee,Kodagu,Black cotton soil land,1.34,60931,NABARD Loan
Beekeeping,Chamarajanagar,Dryland,1.02,58601,Apiculture Loan
Beekeeping,Shivamogga,Dryland,1.1,63214,Apiculture Loan
Tea,Chikkamagaluru,Wetland,1.64,78718,NABARD Refinance Scheme
Pulses,Gadag,Rainfed,3.38,19823,PM Kisan Loan
Cotton,Dharwad,Black cotton soil land,2.54,38132,Crop Loan
Millets,Koppal,Rainfed,3.01,16692,PM Kisan Loan
Sugarcane,Mandya,Irrigated,3.54,45242,Irrigation Loan
Millets,Chitradurga,Dryland,4.07,18198,Organic Farming Loan
Tea,Chikkamagaluru,Wetland,1.17,71659,Plantation Development Loan
Fish Farming,Udupi,Wetland,1.1,86672,Fisheries Loan
Tea,Chikkamagaluru,Wetland,1.11,95125,Plantation Development Loan
Sugarcane,Belagavi,Black cotton soil land,3.98,45630,Agricultural Term Loan
Organic Vegetables,Dharwad,Dryland,2.93,38194,Organic Farming Loan
Silk,Kolar,Irrigated,1.95,73601,Agricultural Term Loan
Wheat,Vijayapura,Irrigated,4.21,33527,Crop Loan
Cotton,Gadag,Dryland,2.23,44946,Crop Loan
Coffee,Kodagu,Wetland,0.94,66700,Plantation Development Loan
Pulses,Dharwad,Dryland,1.89,23085,Organic Farming Loan
Pulses,Raichur,Rainfed,2.12,20530,Organic Farming Loan
Mango,Chikkaballapur,Black cotton soil land,2.12,56254,Organic Farming Loan
Coffee,Chikkamagaluru,Black cotton soil land,1.05,81803,NABARD Loan
Tea,Chikkamagaluru,Hill slope,2.23,93370,NABARD Refinance Scheme
Beekeeping,Kodagu,Dryland,1.81,69776,Apiculture Loan
Tea,Chikkamagaluru,Hill slope,2.04,73544,NABARD Refinance Scheme
Silk,Ramanagara,Irrigated,1.37,65360,Sericulture Loan
Coconut,Tumakuru,Irrigated,2.35,43978,Agri Infrastructure Loan
Sugarcane,Belagavi,Black cotton soil land,3.77,46440,Irrigation Loan
Rice,Mysuru,Irrigated,1.79,33332,Crop Loan
Organic Vegetables,Dharwad,Irrigated,1.86,39413,Horticulture Loan
Fish Farming,Udupi,Wetland,1.76,95135,NABARD Infrastructure Loan
Organic Vegetables,Tumakuru,Irrigated,2.0,40254,Horticulture Loan
Wheat,Bagalkot,Irrigated,2.44,26711,PM Kisan Loan
Maize,Gadag,Rainfed,4.12,27158,Crop Loan
Coffee,Hassan,Wetland,1.59,63370,Horticulture Loan
Coffee,Chikkamagaluru,Wetland,1.61,89967,Plantation Development Loan
Mango,Kolar,Black cotton soil land,2.98,54591,Horticulture Loan
Millets,Ballari,Dryland,4.1,17775,Soil Health Card Loan
Fish Farming,Udupi,Wetland,1.19,71724,NABARD Infrastructure Loan
Pulses,Dharwad,Dryland,2.35,21655,NABARD Loan
Coconut,Dakshina Kannada,Coastal loamy,2.01,54643,Agri Infrastructure Loan
Fish Farming,Dakshina Kannada,Wetland,2.07,90627,NABARD Infrastructure Loan
Fish Farming,Udupi,Wetland,1.09,73186,NABARD Infrastructure Loan
Tea,Chikkamagaluru,Wetland,1.17,81692,Plantation Development Loan
Mango,Chikkaballapur,Dryland,2.77,41783,Organic Farming Loan
Rice,Mysuru,Irrigated,3.35,39985,Crop Loan
Rice,Mandya,Wetland,3.27,36640,Kisan Credit Card
Groundnut,Chikkaballapur,Black cotton soil land,3.59,22979,Organic Farming Loan
Organic Vegetables,Mysuru,Dryland,2.14,38907,Horticulture Loan
Groundnut,Chikkaballapur,Dryland,3.48,28504,Crop Loan
Floriculture,Tumakuru,Polyhouse,0.57,50316,Floriculture Loan
Millets,Ballari,Dryland,4.69,19244,Organic Farming Loan
Organic Vegetables,Tumakuru,Dryland,2.02,44790,Horticulture Loan
Millets,Chitradurga,Dryland,3.36,16188,Organic Farming Loan
Coffee,Hassan,Wetland,1.88,68897,Horticulture Loan
Rice,Mysuru,Irrigated,2.7,38681,Irrigation Loan
Organic Vegetables,Tumakuru,Dryland,1.09,42801,Organic Farming Loan
Fish Farming,Dakshina Kannada,Wetland,2.03,89735,Fisheries Loan
Pulses,Bidar,Dryland,3.59,21519,Organic Farming Loan
Rice,Raichur,Wetland,2.03,38202,Crop Loan
Coffee,Kodagu,Wetland,1.86,89467,Horticulture Loan
Rice,Mandya,Wetland,2.02,30845,Kisan Credit Card
Groundnut,Bengaluru Rural,Dryland,3.91,32581,Organic Farming Loan
Rice,Mysuru,Wetland,1.87,39554,Kisan Credit Card
Banana,Hassan,Irrigated,1.78,41894,Horticulture Loan
Rice,Mandya,Wetland,3.92,30659,Kisan Credit Card
Organic Vegetables,Tumakuru,Irrigated,1.04,43329,Organic Farming Loan
Sugarcane,Mandya,Black cotton soil land,4.17,57928,Irrigation Loan
Fish Farming,Uttara Kannada,Wetland,2.22,74096,Fisheries Loan
Floriculture,Tumakuru,Polyhouse,0.69,66800,Floriculture Loan
Cotton,Dharwad,Dryland,2.91,31083,Crop Loan
Tea,Chikkamagaluru,Hill slope,2.02,95438,Plantation Development Loan
Beekeeping,Chamarajanagar,Forest edge,1.01,68239,Agri Clinic Loan
Coffee,Chikkamagaluru,Wetland,0.94,84719,NABARD Loan
Mango,Ramanagara,Black cotton soil land,3.86,45227,Organic Farming Loan
Coconut,Dakshina Kannada,Irrigated,3.33,57003,Agri Infrastructure Loan
Floriculture,Doddaballapura,Polyhouse,1.07,74335,NABARD Loan
Banana,Hassan,Irrigated,3.01,54882,Irrigation Loan
Coconut,Dakshina Kannada,Coastal loamy,3.8,48228,Agri Infrastructure Loan
Beekeeping,Chamarajanagar,Forest edge,0.87,51693,Apiculture Loan
Tea,Chikkamagaluru,Wetland,1.44,82972,NABARD Refinance Scheme
Floriculture,Tumakuru,Polyhouse,1.04,75599,Floriculture Loan
Sugarcane,Mandya,Black cotton soil land,4.15,50086,Farm Mechanization Loan
Banana,Mysuru,Irrigated,1.96,43457,Irrigation Loan
Banana,Mysuru,Irrigated,3.05,45865,Horticulture Loan
Pulses,Dharwad,Rainfed,2.23,24918,PM Kisan Loan
Groundnut,Tumakuru,Dryland,2.3,21876,Organic Farming Loan
Wheat,Kalaburagi,Irrigated,2.51,26708,Crop Loan
Maize,Gadag,Rainfed,2.27,28631,Crop Loan
Floriculture,Tumakuru,Irrigated,0.56,69410,Floriculture Loan
Floriculture,Bengaluru Urban,Irrigated,1.38,77447,Floriculture Loan
Silk,Ramanagara,Irrigated,2.72,57601,Sericulture Loan
Fish Farming,Udupi,Wetland,1.41,92479,NABARD Infrastructure Loan
Mango,Kolar,Dryland,1.04,35373,Organic Farming Loan
Silk,Kolar,Dryland,1.07,62131,Agricultural Term Loan
Rice,Mandya,Wetland,3.16,34706,Crop Loan
Tea,Chikkamagaluru,Hill slope,1.71,79339,Plantation Development Loan
Mango,Ramanagara,Dryland,1.17,55967,Organic Farming Loan
Mango,Ramanagara,Dryland,3.57,43711,Organic Farming Loan
Cotton,Gadag,Black cotton soil land,3.58,40244,Crop Loan
Floriculture,Bengaluru Urban,Polyhouse,0.87,77168,Floriculture Loan
Maize,Gadag,Rainfed,2.5,24450,Farm Mechanization Loan
Silk,Ramanagara,Dryland,2.82,61218,NABARD Loan
Wheat,Vijayapura,Irrigated,4.74,29547,Crop Loan
Millets,Chitradurga,Dryland,5.39,19297,PM Kisan Loan
Floriculture,Tumakuru,Irrigated,1.42,78235,Floriculture Loan
Fish Farming,Dakshina Kannada,Wetland,2.45,90425,Fisheries Loan
Coconut,Udupi,Irrigated,1.07,52542,Agri Infrastructure Loan
Beekeeping,Shivamogga,Forest edge,1.48,54491,Apiculture Loan
Beekeeping,Shivamogga,Forest edge,0.88,60069,Apiculture Loan
Millets,Chitradurga,Dryland,4.08,20912,Organic Farming Loan
Millets,Chitradurga,Rainfed,4.21,16823,Organic Farming Loan
Maize,Gadag,Dryland,4.37,26334,Crop Loan
Pulses,Gadag,Dryland,1.37,20583,PM Kisan Loan
Coconut,Udupi,Irrigated,1.81,48880,Plantation Loan
Rice,Mandya,Irrigated,3.31,32670,Kisan Credit Card
Wheat,Bagalkot,Dryland,4.08,30255,PM Kisan Loan
Coconut,Tumakuru,Irrigated,2.67,56205,Plantation Loan
Beekeeping,Chamarajanagar,Forest edge,1.67,60319,Agri Clinic Loan
Groundnut,Bengaluru Rural,Black cotton soil land,4.85,27728,Organic Farming Loan
Coconut,Udupi,Coastal loamy,1.61,49091,Plantation Loan
Rice,Raichur,Irrigated,2.19,38297,Kisan Credit Card
Coffee,Chikkamagaluru,Wetland,0.84,82150,Horticulture Loan
Organic Vegetables,Tumakuru,Dryland,1.49,37820,Organic Farming Loan
Maize,Gadag,Rainfed,4.44,31939,Farm Mechanization Loan
Mango,Chikkaballapur,Dryland,3.63,45206,Horticulture Loan
Maize,Gadag,Dryland,3.45,21656,Crop Loan
